id, version, round, trial, timestamp, game_timestamp, mouse_x, mouse_y, color, position, animation_duration, rt_start_timestamp, rt_end_timestamp, rt, hit
7858, BL, 0, 1, 12:42:02.078, 6.488552, -2.537, 0.000, Red, Left, 0.4, 5.862642, 6.488552, 0.6259098, 1
7858, BL, 0, 2, 12:42:04.222, 8.648088, -2.600, -0.026, Red, Left, 0.4, 8.105936, 8.648088, 0.5421524, 1
7858, BL, 0, 3, 12:42:06.389, 10.81469, 2.645, 0.079, Blue, Right, 2, 10.27229, 10.81469, 0.5423975, 1
7858, BL, 0, 4, 12:42:10.367, 14.79377, -2.837, -0.097, Red, Left, 0.4, 14.20955, 14.79377, 0.584218, 1
7858, BL, 0, 5, 12:42:12.686, 17.11284, -0.084, -2.736, Blue, Bottom, 2, 16.36212, 17.11284, 0.7507229, 1
7858, BL, 0, 6, 12:42:16.693, 21.11961, -2.773, -0.097, Red, Left, 0.4, 20.41032, 21.11961, 0.7092915, 1
7858, BL, 0, 7, 12:42:18.956, 23.38343, 2.564, 0.026, Blue, Right, 2, 22.62539, 23.38343, 0.7580376, 1
7858, BL, 0, 8, 12:42:23.075, 27.50104, 0.068, -2.600, Blue, Bottom, 2, 26.84734, 27.50104, 0.6536999, 1
7858, BL, 8, 9, 12:43:42.945, 107.3717, 2.626, 0.061, Red, Right, 0.4, 106.7536, 107.3717, 0.6180801, 1
7858, BL, 8, 10, 12:43:45.287, 109.714, -0.042, -2.600, Red, Bottom, 0.4, 109.0959, 109.714, 0.6181183, 1
