id, version, round, trial, timestamp, game_timestamp, mouse_x, mouse_y, color, position, animation_duration, rt_start_timestamp, rt_end_timestamp, rt, hit
2682, BL, 0, 1, 19:27:59.676, 4.973803, 0.042, -2.755, Red, Bottom, 0.4, 4.267508, 4.973803, 0.706295, 1
2682, BL, 0, 2, 19:28:01.965, 7.265431, -2.883, 0.229, Blue, Left, 2, 6.646358, 7.265431, 0.6190734, 1
2682, BL, 0, 3, 19:28:05.841, 11.14112, -2.800, 0.097, Red, Left, 0.4, 10.54967, 11.14112, 0.591445, 1
2682, BL, 0, 4, 19:28:07.958, 13.25842, -0.025, -2.892, Red, Bottom, 0.4, 12.72922, 13.25842, 0.5292034, 1
2682, BL, 0, 5, 19:28:09.985, 15.28577, -0.143, 3.086, Blue, Top, 2, 14.69478, 15.28577, 0.5909872, 0
2682, BL, 0, 6, 19:28:14.471, 19.77149, -2.782, 0.035, Blue, Left, 2, 19.03477, 19.77149, 0.7367191, 1
2682, BL, 0, 7, 19:28:18.305, 23.60489, 2.573, 0.052, Blue, Right, 2, 23.02722, 23.60489, 0.5776691, 1
2682, BL, 0, 8, 19:28:22.173, 27.47247, 2.618, -0.035, Red, Right, 0.4, 26.89517, 27.47247, 0.5772953, 1
2682, BL, 0, 9, 19:28:24.332, 29.63186, -2.664, -0.026, Red, Left, 0.4, 29.04764, 29.63186, 0.5842152, 1
2682, BL, 0, 10, 19:28:26.609, 31.9095, 2.755, 0.026, Red, Right, 0.4, 31.40138, 31.9095, 0.5081234, 1
